# fylite/ids-table/1
# dd_version 4.1.1
# ids gyrokinetics_local
# columns path kind ndim units coordinates same_as alternatives
linear/wavevector/eigenmode/linear_weights/particles_b_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/energy_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/energy_a_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/energy_b_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/momentum_phi_parallel_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/momentum_phi_parallel_a_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/momentum_phi_parallel_b_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/momentum_phi_perpendicular_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/momentum_phi_perpendicular_a_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/momentum_phi_perpendicular_b_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame	S	0				
linear/wavevector/eigenmode/linear_weights_rotating_frame/particles_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/particles_a_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/particles_b_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/energy_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/energy_a_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/energy_b_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/momentum_phi_parallel_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/momentum_phi_parallel_a_field_parallel	F	1	1	species		
linear/wavevector/eigenmode/linear_weights_rotating_frame/momentum_phi_parallel_b_field_parallel	F	1	1	species		
