# fylite/ids-table/1
# dd_version 4.1.1
# ids plasma_profiles
# columns path kind ndim units coordinates same_as alternatives
profiles_1d/ion/state/vibrational_level	F	0	e			
profiles_1d/ion/state/vibrational_mode	T	0				
profiles_1d/ion/state/rotation_frequency_tor	F	1	rad.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/velocity	S	0	m.s^-1			
profiles_1d/ion/state/velocity/radial	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/velocity/diamagnetic	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/velocity/parallel	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/velocity/poloidal	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/velocity/toroidal	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/temperature	F	1	eV	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/density	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/density_fit	S	0	m^-3			
profiles_1d/ion/state/density_fit/measured	F	1	mixed	1...N		
profiles_1d/ion/state/density_fit/source	T	1		profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/time_measurement	F	1	s	profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/time_measurement_slice_method	S	0				
profiles_1d/ion/state/density_fit/time_measurement_slice_method/name	T	0				
profiles_1d/ion/state/density_fit/time_measurement_slice_method/index	I	0				
profiles_1d/ion/state/density_fit/time_measurement_slice_method/description	T	0				
profiles_1d/ion/state/density_fit/time_measurement_width	F	1	s	profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/local	I	1		profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/rho_tor_norm	F	1	1	profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/rho_pol_norm	F	1	1	profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/weight	F	1	1	profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/reconstructed	F	1	mixed	profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/chi_squared	F	1	1	profiles_1d(itime)/ion(i1)/state(i2)/density_fit/measured		
profiles_1d/ion/state/density_fit/parameters	T	0				
profiles_1d/ion/state/density_thermal	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/density_fast	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/pressure	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/pressure_thermal	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/pressure_fast_perpendicular	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/pressure_fast_parallel	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral	A	1		1...N		
profiles_1d/neutral/element	A	1		1...N		
profiles_1d/neutral/element/a	F	0	u			
profiles_1d/neutral/element/z_n	I	0	e			
profiles_1d/neutral/element/atoms_n	I	0				
profiles_1d/neutral/name	T	0				
profiles_1d/neutral/ion_index	I	0				
profiles_1d/neutral/temperature	F	1	eV	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/density	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/density_thermal	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/density_fast	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/pressure	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/pressure_thermal	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/pressure_fast_perpendicular	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/pressure_fast_parallel	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/neutral/multiple_states_flag	I	0				
